posicao_2026;posicao_2025;razao_social;uf;faturamento_2025_brl
1;1;"CARREFOUR COMÉRCIO E INDÚSTRIA LTDA.";SP;123594300000
2;2;"ASSAÍ ATACADISTA";SP;84736000000
3;3;"MATEUS SUPERMERCADOS S.A.";MA;31001972579
4;4;"SUPERMERCADOS BH COMÉRCIO DE ALIMENTOS S.A.";MG;25724242808
5;5;"GPA";SP;20631000000
6;6;"IRMÃOS MUFFATO S.A";PR;20355475718
7;7;"GRUPO PEREIRA";SP;17530890000
8;10;"KOCH HIPERMERCADO S.A.";SC;12925675000
9;19;"NOVO MATEUS S.A.";PE;12549927422
10;8;"MART MINAS ATACADO E VAREJO & DOM ATACADISTA";MG;12549621329
11;Nova;"REDE SMART SUPERMERCADOS";MG;11811008373
12;9;"CENCOSUD BRASIL COMERCIAL LTDA.";SP;10012691000
13;11;"PLURIX";SP;9621221000
14;13;"DMA DISTRIBUIDORA S.A.";MG;8908482537
15;12;"COMPANHIA ZAFFARI COMÉRCIO E INDÚSTRIA";RS;8830000000
16;14;"TENDA ATACADO S.A.";SP;8031899208
17;16;"SAVEGNAGO SUPERMERCADOS LTDA.";SP;7985062012
18;15;"COSTA ATACADÃO/GRUPO JC";GO;7803990078
19;20;"COMERCIAL ZAFFARI LTDA.";RS;6840608187
20;17;"ATACADÃO DIA A DIA S.A.";DF;6677352458
21;22;"ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A.";BA;6320525623
22;18;"SONDA SUPERMERCADOS EXPORTAÇÃO E IMPORTAÇÃO S.A.";SP;6121929829
23;23;"GRUPO ABC";MG;5537280000
24;21;"LÍDER COMÉRCIO E INDÚSTRIA LTDA.";PA;5448791436
25;24;"GRUPO SUPERNOSSO";MG;5105278519
26;27;"GIASSI E CIA. LTDA.";SC;4498565100
27;25;"SUPERMERCADO BAHAMAS S.A.";MG;4491803536
28;29;"PAGUE MENOS COM. DE PROD. ALIM. LTDA.";SP;4337217000
29;26;"COMERCIAL ZARAGOZA IMP E EXP LTDA.";SP;4316000000
29;239;"ORGANIZAÇÃO MARINGA LTDA.";RJ;267524000
30;28;"ROLDÃO AUTOSSERVICO COMÉRCIO DE ALIMENTOS LTDA.";SP;4067716000
31;30;"A. ANGELONI E CIA. LTDA.";SC;3897395945
32;31;"CEMA CENTRAL MINEIRA ATACADISTA LTDA. (VILLEFORT)";MG;3622474000
33;32;"TAUSTE SUPERMERCADOS LTDA.";SP;3507644251
34;33;"CENTRO OESTE COMERCIAL DE ALIMENTOS LTDA.";DF;3477564866
35;Nova;"MERCANTIL NOVA ERA LTDA.";AM;3255000000
36;35;"GRUPO COUTINHO";ES;3144044332
37;34;"UNIDASUL DISTRIBUIDORA ALIMENTÍCIA S.A.";RS;3132314184
38;39;"PASSARELA CENTER LTDA.";SC;3031423887
39;36;"MUNDIALMIX COMÉRCIO DE ALIMENTOS LTDA.";SC;3023596251
40;37;"JAD ZOGHEIB E CIA. LTDA.";SP;2950631891
41;43;"CIA. BEAL DE ALIMENTOS";PR;2911094773
42;42;"SILVA E BARBOSA COMÉRCIO DE ALIMENTOS LTDA.";SP;2777458100
43;40;"SÃO CRISTOVÃO INVESTIMENTOS E PARTICIPAÇÕES S.A.";DF;2693054202
44;41;"COOP COOPERATIVA DE CONSUMO";SP;2565841808
45;44;"SUPERMERCADO NORDESTÃO LTDA.";RN;2563401938
46;47;"SUPERMERCADOS CAVICCHIOLLI LTDA.";SP;2508915415
47;45;"AM PM COMESTÍVEIS LTDA.";SP;2277304828
48;50;"COVABRA SUPERMERCADO LTDA.";SP;2227751802
49;46;"TORRE E CIA. SUPERMERCADOS S.A.";RJ;2168757504
50;38;"DIA BRASIL SOCIEDADE LTDA.";SP;2080907641
51;49;"SUPERMERCADOS ALVORADA LTDA.";RJ;2021323351
52;62;"DEL MORO & DEL MORO LTDA.";MT;1894298495
53;56;"SUPERMERCADO QUEIROZ LTDA.";RN;1866344167
54;53;"DISTRIBUIDORA DE ALIMENTOS FARTURA S.A.";CE;1846971517
55;51;"COSTAZUL ALIMENTOS";RJ;1809533224
56;48;"IMPORTADORA E EXPORTADORA DE CEREAIS S.A.";RS;1799779160
57;52;"SUPERMERCADOS IRMÃOS LOPES S.A.";SP;1767408135
58;61;"ORGANIZACAO VERDEMAR LTDA.";MG;1755687035
59;55;"FORMOSA SUPERMERCADOS & MAGAZINE LTDA.";PA;1745483112
60;60;"SUPERMERCADO JACOMAR LTDA.";PR;1695000000
61;57;"SUPERMERCADO COMETA EIRELE";CE;1693005414
62;59;"LOPES SUPERMERCADOS LTDA.";SP;1672320198
63;Nova;"ÍTALO SUPERMERCADOS LTDA.";PR;1671706373
64;58;"RMC COMÉRCIO DE ALIMENTOS LTDA.";PI;1663651037
65;64;"D´AVÓ SUPERMERCADOS LTDA.";SP;1616376784
66;63;"A.C.D.A IMPORTAÇÃO E EXPORTAÇÃO LTDA.";AC;1611855620
67;54;"ASUN COMÉRCIO DE GÊNEROS ALIMENTÍCIOS LTDA.";RS;1570937517
68;65;"MASTER A.T.S. SUPERMERCADO LTDA.";RS;1492524570
69;67;"GRUPO CHAMA DE DISTRIBUIÇÃO LTDA.";SP;1490747207
70;70;"NAOMI COMÉRCIO ALIMENTOS LTDA.";RJ;1438799653
71;69;"A.B.V. COM. DE ALIM. LTDA.";MS;1382002502
72;72;"BATISTA & IZEPE LTDA.";PR;1374692852
73;71;"PERUZZO SUPERMERCADOS";RS;1353672717
74;76;"LIBRAGA BRANDÃO & CIA. LTDA.";RS;1320526208
75;74;"SUPERMERCADO DA FAMILIA S.A.";PE;1307329485
76;78;"TRIMAIS SUPERMERCADOS LTDA.";SP;1288237085
77;75;"ÂNCORA DISTRIBUIDORA DE ALIMENTOS LTDA.";CE;1281658216
78;77;"RMIX COMÉRCIO DE GÊNEROS ALIMENTICIOS LTDA.";BA;1249577381
79;84;"HIGA PRODUTOS ALIMENTÍCIOS LTDA.";SP;1221851769
80;73;"COMERCIAL DE GEN. ALIM. PREÇO BAIXO LTDA.";PA;1186215857
81;82;"GTOP DISTRIBUIÇÃO LTDA.";SC;1172103399
82;81;"REDE DE DISTRIBUIÇÃO ZEFERINO LTDA.";SP;1157396000
83;79;"SUPERMERCADO SUPER LUNA S.A.";MG;1141860152
84;80;"HIPERIDEAL EMPREENDIMENTOS LTDA.";BA;1116455308
85;88;"SUPERMERCADO GUANABARA S.A.";RS;1071222005
86;93;"S. PIRES COMÉRCIO DE ALIMENTOS LTDA.";MS;1038615817
87;86;"M.N. SUPERMERCADOS LTDA.";MG;1026387975
88;97;"NOSSO ATACAREJO COMÉRCIO DE GENEROS ALIMENTÍCIOS LTDA";RN;1022027392
89;89;"ANDORINHA SUPERMERCADO LTDA.";SP;1014369000
90;96;"SUPERVIZA SUPERMERCADOS LTDA.";SC;976060892
91;101;"OSMAR NICOLINI COMÉRCIO E DISTRIBUIÇÃO S.A.";RS;974625795
92;102;"GCA - DISTRIBUIDORA COMERCIAL DE ALIMENTOS LTDA.";PR;957914833
93;100;"COMERCIAL REIS LTDA.";GO;950157630
94;126;"MIX VALI COMÉRCIO DE PRODUTOS ALIMENTÍCIOS LTDA.";SP;949184505
95;92;"SUPERMERCADO ARCHER S.A.";SC;939912130
96;95;"SUPERMERCADO IQUEGAMI LTDA.";SP;931200831
97;99;"COMERCIAL OSWALDO CRUZ LTDA.";SP;925281641
98;Nova;"COOPERATIVA DALIA ALIMENTOS LTDA.";RS;913891661
99;91;"SUPERMERCADO VIANENSE LTDA.";RJ;899551623
100;90;"DISTRIBUIÇÃO DE ALIMENTOS VANGUARDA S.A.";PI;891577902
101;110;"SUPERMERCADOS BAVARESCO LTDA.";PR;889088594
102;105;"SUPERMERCADO DELTA MAX LTDA.";SP;878797111
103;Nova;"AYUMI SUPERMERCADOS LTDA.";SP;862837305
104;87;"GOMES PAIXÃO & CIA. LTDA.";PB;860000000
105;83;"LUIZ TONIN ATACADISTA E SUPERMERCADO S.A.";MG;856164739
106;94;"COMERCIAL DE ALIMENTOS GILMAR LTDA.";BA;831032781
107;104;"MAGLIONI RIBEIRO & CIA. LTDA.";MG;824934515
108;109;"NOVO MIX ATACADO DE ALIMENTOS LTDA.";BA;814538240
109;116;"CENTERBOX SUPERMERCADOS LTDA.";CE;803732285
110;106;"SANCHES & VECCHIATE LTDA.";PR;801043198
111;107;"BOM VIZINHO DISTRIBUIDORA DE ALIMENTOS LTDA.";CE;788535322
